序号,所在小区,网站链接,总价,建筑时间,区域,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1970,新天宿舍 ,https://cs.lianjia.com/ershoufang/104106737542.html,未知年建/板楼,芙蓉,79.5万,6868元/平米,3室2厅1厨2卫,中楼层 (共7层),115.77㎡,平层,103.62㎡,板楼,南,砖混结构,精装,一梯两户,无,2021-06-24,商品房,2013-07-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1040931080460676
1971,香樟兰亭 ,https://cs.lianjia.com/ershoufang/104108614148.html,2014年建/板塔结合,雨花,116万,12832元/平米,4室2厅1厨1卫,中楼层 (共32层),90.4㎡,平层,69.2㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-05-07,商品房,2015-10-19,普通住宅,满五年,非共有,无抵押,已上传房本照片,1143577050450809
1972,山语城二期 ,https://cs.lianjia.com/ershoufang/104105432084.html,2013年建/板塔结合,开福,92万,10402元/平米,3室2厅1厨1卫,低楼层 (共18层),88.45㎡,平层,76.23㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2020-11-20,商品房,2013-10-17,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片,1149646160430283
1973,山水印象 ,https://cs.lianjia.com/ershoufang/104106705857.html,未知年建/暂无数据,天心,55.8万,6422元/平米,3室2厅1厨1卫,高楼层 (共6层),86.9㎡,平层,暂无数据,暂无数据,南,未知结构,其他,一梯两户,暂无数据,2021-06-19,商品房,2016-07-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1035795530491440
1974,恒大御景湾 ,https://cs.lianjia.com/ershoufang/104108420297.html,2015年建/板塔结合,岳麓,183万,15104元/平米,3室2厅1厨2卫,高楼层 (共32层),121.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,2022-04-05,商品房,2017-08-07,普通住宅,暂无数据,非共有,有抵押 30万元 业主自还,已上传房本照片,1139761290491546
1975,宜居莱茵城 ,https://cs.lianjia.com/ershoufang/104107242674.html,2010年建/板塔结合,岳麓,87.8万,9287元/平米,3室2厅1厨2卫,高楼层 (共32层),94.55㎡,平层,75.63㎡,板塔结合,南,钢混结构,精装,三梯六户,有,2021-09-12,商品房,2016-06-10,普通住宅,满五年,共有,有抵押 40万元 工商银行 业主自还,已上传房本照片,1074311800430325
1976,仁和雨花家园 ,https://cs.lianjia.com/ershoufang/104107904486.html,未知年建/板塔结合,雨花,159.8万,10268元/平米,4室2厅1厨2卫,低楼层 (共6层),155.63㎡,错层,暂无数据,板塔结合,东南,钢混结构,精装,一梯两户,暂无数据,2022-01-03,私产,2003-02-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1112687120470155
1977,富春山 ,https://cs.lianjia.com/ershoufang/104108543820.html,2015年建/塔楼,雨花,102万,9357元/平米,3室2厅1厨2卫,中楼层 (共32层),109.01㎡,平层,87.71㎡,塔楼,南,钢混结构,精装,一梯四户,有,2022-04-24,商品房,2018-04-24,普通住宅,暂无数据,非共有,有抵押 15万元,已上传房本照片,1144418160451615
1978,时代倾城 ,https://cs.lianjia.com/ershoufang/104108220070.html,2017年建/板塔结合,望城,109.5万,10654元/平米,3室2厅1厨2卫,高楼层 (共35层),102.78㎡,平层,81.49㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-07,商品房,2018-06-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片
1979,碧桂园威尼斯城蓝天花语 ,https://cs.lianjia.com/ershoufang/104108737464.html,未知年建/平房,长沙县,90万,7087元/平米,3室2厅1厨2卫,高楼层 (共6层),127㎡,平层,暂无数据,平房,南,钢混结构,精装,一梯两户,暂无数据,2022-05-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
1980,乾源国际广场 ,https://cs.lianjia.com/ershoufang/104108515692.html,2014年建/板楼,望城,100万,10417元/平米,3室2厅1厨2卫,高楼层 (共25层),96㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,2022-04-19,商品房,2018-04-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
1981,兰亭优壳 ,https://cs.lianjia.com/ershoufang/104106366299.html,2010年建/板塔结合,雨花,97万,10690元/平米,3室2厅1厨1卫,低楼层 (共30层),90.74㎡,平层,71.16㎡,板塔结合,南,钢混结构,简装,两梯五户,有,2021-04-29,商品房,2013-04-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1055137250400421
1982,龙湖湘风原著B2区 ,https://cs.lianjia.com/ershoufang/104108461421.html,未知年建/板塔结合,望城,84万,9931元/平米,3室2厅1厨1卫,高楼层 (共34层),84.59㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯五户,有,2022-04-11,商品房,2018-04-13,普通住宅,暂无数据,非共有,有抵押 15万元,已上传房本照片
1983,红橡华园 ,https://cs.lianjia.com/ershoufang/104108274939.html,2015年建/板塔结合,芙蓉,158万,14106元/平米,3室2厅1厨2卫,高楼层 (共33层),112.01㎡,平层,93.02㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-03-14,商品房,2014-10-13,普通住宅,满五年,非共有,无抵押,已上传房本照片,1130693340450658
1984,兰亭峰景 ,https://cs.lianjia.com/ershoufang/104107894400.html,未知年建/塔楼,开福,101.8万,11203元/平米,3室2厅1厨1卫,低楼层 (共30层),90.87㎡,平层,73.58㎡,塔楼,南,钢混结构,精装,三梯五户,有,2022-01-01,商品房,2012-05-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1081799410491583
1985,万科魅力之城 ,https://cs.lianjia.com/ershoufang/104108557361.html,2015年建/塔楼,雨花,124万,12440元/平米,3室2厅1厨1卫,中楼层 (共34层),99.68㎡,平层,82.38㎡,塔楼,南,钢混结构,简装,三梯六户,有,2022-04-26,商品房,2018-04-18,普通住宅,暂无数据,共有,有抵押 50万元 客户偿还,已上传房本照片,1145382870402113
1986,香江锦城 ,https://cs.lianjia.com/ershoufang/104106846227.html,2012年建/板塔结合,开福,139.9万,15543元/平米,3室2厅1厨1卫,中楼层 (共33层),90.01㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2021-07-10,商品房,2016-11-24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1073226630461862
1987,澳海澜庭 ,https://cs.lianjia.com/ershoufang/104108061917.html,2015年建/板楼,望城,85万,9576元/平米,3室2厅1厨1卫,中楼层 (共6层),88.77㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2022-02-15,商品房,2015-11-19,普通住宅,满五年,非共有,有抵押 15万元 业主自还,已上传房本照片
1988,第六都 ,https://cs.lianjia.com/ershoufang/104106374773.html,2014年建/塔楼,雨花,283万,20949元/平米,3室2厅1厨2卫,高楼层 (共33层),135.09㎡,平层,119㎡,塔楼,南,钢混结构,其他,两梯三户,有,2021-04-30,商品房,2016-10-01,普通住宅,满五年,非共有,有抵押,已上传房本照片,1020455840421550
1989,嘉华城 ,https://cs.lianjia.com/ershoufang/104108244194.html,未知年建/板塔结合,雨花,144.9万,10903元/平米,4室1厅1厨2卫,高楼层 (共27层),132.91㎡,错层,107.77㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-03-10,商品房,2017-05-18,普通住宅,满五年,非共有,无抵押,已上传房本照片,1142600850461119
1990,五矿哈佛小镇 ,https://cs.lianjia.com/ershoufang/104107967190.html,2016年建/板塔结合,天心,75万,8414元/平米,3室2厅1厨2卫,低楼层 (共18层),89.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-01-18,商品房,2018-04-10,普通住宅,暂无数据,非共有,有抵押 10万元 建设银行,已上传房本照片,1115999140461426
1991,鑫天御景湾二期 ,https://cs.lianjia.com/ershoufang/104108263827.html,2013年建/板塔结合,雨花,113万,11806元/平米,3室2厅1厨1卫,低楼层 (共27层),95.72㎡,平层,78.3㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2022-03-13,商品房,2014-12-24,普通住宅,满五年,非共有,有抵押 30万元 中国银行 业主自还,已上传房本照片,1131862230402459
1992,日出东方 ,https://cs.lianjia.com/ershoufang/104108221544.html,未知年建/板塔结合,芙蓉,50万,6816元/平米,2室2厅1厨1卫,低楼层 (共28层),73.36㎡,平层,54.9㎡,板塔结合,南,钢混结构,简装,四梯十二户,有,2022-03-07,商品房,2003-07-23,普通住宅,满五年,共有,无抵押,已上传房本照片,1128381250451603
1993,光明城市 ,https://cs.lianjia.com/ershoufang/104108300907.html,2015年建/塔楼,长沙县,69万,7402元/平米,3室2厅1厨1卫,中楼层 (共33层),93.23㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯七户,暂无数据,2022-03-18,商品房,2017-04-08,普通住宅,满五年,非共有,有抵押 10万元 业主自还,已上传房本照片
1994,勤诚达新界 ,https://cs.lianjia.com/ershoufang/104108306931.html,未知年建/板楼,望城,98万,10552元/平米,3室2厅1厨1卫,高楼层 (共18层),92.88㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2022-03-19,商品房,2013-11-06,普通住宅,满五年,非共有,无抵押,已上传房本照片
1995,长房时代城 ,https://cs.lianjia.com/ershoufang/104106959094.html,2012年建/板塔结合,岳麓,125万,13863元/平米,3室2厅1厨1卫,中楼层 (共28层),90.17㎡,平层,69.73㎡,板塔结合,南,钢混结构,其他,两梯四户,有,2021-07-28,商品房,2015-08-13,普通住宅,满五年,非共有,有抵押,已上传房本照片,1047826310441275
1996,万科金域华府 ,https://cs.lianjia.com/ershoufang/104107721440.html,2013年建/板塔结合,雨花,166万,13256元/平米,3室2厅1厨2卫,低楼层 (共34层),125.23㎡,平层,104.46㎡,板塔结合,南 北,钢混结构,精装,两梯五户,有,2021-11-29,商品房,2013-10-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1102944560400821
1997,方略城市广场 ,https://cs.lianjia.com/ershoufang/104108612258.html,2015年建/板楼,长沙县,82.8万,9281元/平米,3室2厅1厨2卫,低楼层 (共33层),89.22㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,2022-05-06,商品房,2018-04-20,普通住宅,暂无数据,非共有,有抵押 55万元,已上传房本照片
1998,万科城三期 ,https://cs.lianjia.com/ershoufang/104107319827.html,2014年建/板塔结合,开福,175万,13724元/平米,4室2厅1厨2卫,中楼层 (共34层),127.52㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-09-24,商品房,2015-06-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,1152329250450776
1999,佳兆业时代广场 ,https://cs.lianjia.com/ershoufang/104108569959.html,未知年建/塔楼,芙蓉,123万,13361元/平米,3室2厅1厨1卫,高楼层 (共34层),92.06㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯四户,有,2022-04-28,商品房,2017-09-04,普通住宅,暂无数据,非共有,有抵押 80万元 金融公司垫资,已上传房本照片,1139502880480658
2000,庄园心伽泊 ,https://cs.lianjia.com/ershoufang/104107977884.html,2013年建/板塔结合,开福,118万,10531元/平米,4室2厅1厨2卫,高楼层 (共30层),112.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2022-01-22,商品房,2015-06-09,普通住宅,满五年,共有,有抵押 30万元 建设银行客户还,已上传房本照片,1020873680480342
2001,省建设厅 ,https://cs.lianjia.com/ershoufang/104107831072.html,未知年建/板楼,芙蓉,146万,12088元/平米,3室2厅1厨2卫,高楼层 (共25层),120.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯八户,有,2021-12-19,商品房,2005-07-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,1114162490450848
2002,万科城二期B区 ,https://cs.lianjia.com/ershoufang/104107410067.html,2014年建/板塔结合,开福,128万,14002元/平米,3室2厅1厨2卫,中楼层 (共34层),91.42㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯五户,有,2021-10-09,商品房,2017-07-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,1098700860452736
2003,乾城江来 ,https://cs.lianjia.com/ershoufang/104108332044.html,未知年建/板楼,天心,102万,10834元/平米,3室2厅1厨1卫,低楼层 (共32层),94.15㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2022-03-23,商品房,2017-01-04,普通住宅,满五年,非共有,无抵押,已上传房本照片,1097636880441418
2004,长房时代城 ,https://cs.lianjia.com/ershoufang/104108092169.html,2012年建/板塔结合,岳麓,110万,13000元/平米,3室2厅1厨1卫,低楼层 (共28层),84.62㎡,平层,65.47㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2022-02-19,商品房,2014-06-24,普通住宅,满五年,非共有,有抵押 48万元 金融公司垫资,已上传房本照片,1122595710401275
2005,航空母舰小区 ,https://cs.lianjia.com/ershoufang/104107968396.html,2005年建/板楼,岳麓,88万,9435元/平米,2室2厅1厨1卫,中楼层 (共7层),93.27㎡,错层,暂无数据,板楼,南,钢混结构,简装,一梯四户,有,2022-01-19,商品房,2015-02-10,普通住宅,满五年,非共有,无抵押,已上传房本照片,1103541560431621
2006,天骄福邸 ,https://cs.lianjia.com/ershoufang/104108116429.html,2011年建/板楼,岳麓,148万,13105元/平米,3室2厅1厨2卫,高楼层 (共18层),112.94㎡,平层,93.95㎡,板楼,南,钢混结构,精装,两梯四户,有,2022-02-22,商品房,2013-08-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,1029357230441186
2007,碧桂园威尼斯城蓝天花语 ,https://cs.lianjia.com/ershoufang/104108737464.html,未知年建/平房,长沙县,90万,7087元/平米,3室2厅1厨2卫,高楼层 (共6层),127㎡,平层,暂无数据,平房,南,钢混结构,精装,一梯两户,暂无数据,2022-05-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
2008,北辰三角洲奥城E3区 ,https://cs.lianjia.com/ershoufang/104108580800.html,2013年建/板塔结合,开福,195万,18494元/平米,3室2厅1厨1卫,中楼层 (共38层),105.44㎡,平层,83.18㎡,板塔结合,南,钢混结构,精装,两梯三户,有,2022-04-30,商品房,2017-06-07,普通住宅,满五年,共有,有抵押 90万元 客户偿还,已上传房本照片,1148676830471862
2009,名家翡翠花园 ,https://cs.lianjia.com/ershoufang/104108523283.html,2012年建/板塔结合,望城,94万,10713元/平米,3室2厅1厨1卫,中楼层 (共25层),87.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2022-04-21,商品房,2018-06-04,普通住宅,暂无数据,非共有,有抵押 20万元 工商 业主自还,已上传房本照片
2010,景秀江山 ,https://cs.lianjia.com/ershoufang/104108715350.html,2011年建/板塔结合,岳麓,179.8万,13826元/平米,4室2厅1厨2卫,高楼层 (共13层),130.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,2022-05-24,商品房,2022-05-28,普通住宅,未满两年,共有,有抵押 20万元,已上传房本照片,1152726960463119
2011,勤诚达新界 ,https://cs.lianjia.com/ershoufang/104108451328.html,未知年建/板楼,望城,84万,9504元/平米,4室2厅1厨2卫,高楼层 (共17层),88.39㎡,复式,暂无数据,板楼,东,钢混结构,精装,三梯三十户,有,2022-04-09,商品房,2013-12-04,普通住宅,满五年,共有,无抵押,已上传房本照片
2012,万科金域华府 ,https://cs.lianjia.com/ershoufang/104108448461.html,2013年建/板塔结合,雨花,125万,13444元/平米,3室2厅1厨1卫,高楼层 (共34层),92.98㎡,平层,76.38㎡,板塔结合,西南,钢混结构,精装,两梯五户,有,2022-04-09,商品房,2015-11-16,普通住宅,满五年,非共有,有抵押 30万元 公积金,已上传房本照片,1011536630440379
2013,雨花区教师村 ,https://cs.lianjia.com/ershoufang/104108430388.html,未知年建/板楼,雨花,62.5万,7016元/平米,3室2厅1厨1卫,低楼层 (共7层),89.09㎡,平层,80.26㎡,板楼,南,砖混结构,精装,一梯两户,暂无数据,2022-04-06,经济适用房,2006-04-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,1138292010463193
2014,五矿万境水岸一期 ,https://cs.lianjia.com/ershoufang/104108005456.html,2013年建/板塔结合,雨花,152万,13925元/平米,3室2厅1厨2卫,中楼层 (共34层),109.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯三户,有,2022-02-08,商品房,2015-02-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,1118652100421092
2015,中国铁建梅溪青秀 ,https://cs.lianjia.com/ershoufang/104106042777.html,2013年建/塔楼,岳麓,163万,17720元/平米,3室2厅1厨1卫,中楼层 (共33层),91.99㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯两户,有,2021-03-14,商品房,2017-09-04,普通住宅,暂无数据,非共有,有抵押 11万元,已上传房本照片,1020156720461539
2016,万煦园 ,https://cs.lianjia.com/ershoufang/104107939609.html,2007年建/板楼,开福,137万,9224元/平米,4室2厅1厨2卫,中楼层 (共17层),148.54㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2022-01-11,商品房,2011-06-13,普通住宅,满五年,非共有,有抵押 50万元 邮政银行 客户偿还,已上传房本照片,1114539660480818
2017,梅溪鑫苑名家 ,https://cs.lianjia.com/ershoufang/104108127861.html,2016年建/板塔结合,岳麓,155万,14607元/平米,3室2厅1厨2卫,高楼层 (共33层),106.12㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,一梯四户,暂无数据,2022-02-23,商品房,2017-11-01,普通住宅,暂无数据,共有,有抵押 60万元 客户偿还,已上传房本照片,1124471720451586
2018,澳海澜庭月亮湾 ,https://cs.lianjia.com/ershoufang/104108153439.html,未知年建/暂无数据,望城,76.8万,9043元/平米,3室2厅1厨1卫,高楼层 (共6层),84.93㎡,平层,暂无数据,暂无数据,西南,未知结构,精装,一梯两户,暂无数据,2022-02-27,商品房,2017-03-13,普通住宅,满五年,共有,有抵押 12万元,已上传房本照片
2019,龙湖湘风原著B2区 ,https://cs.lianjia.com/ershoufang/104108553630.html,未知年建/暂无数据,望城,90万,9953元/平米,3室2厅1厨1卫,高楼层 (共34层),90.43㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,两梯五户,有,2022-04-26,经济适用房,2018-01-29,普通住宅,暂无数据,非共有,有抵押 30万元 客户偿还,已上传房本照片
2020,润和紫郡 ,https://cs.lianjia.com/ershoufang/104108046303.html,2016年建/塔楼,望城,103万,9939元/平米,3室2厅1厨1卫,中楼层 (共33层),103.64㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,2022-02-13,商品房,2015-12-23,普通住宅,满五年,非共有,有抵押 20万元 客户偿还,已上传房本照片
2021,荣盛花语馨苑 ,https://cs.lianjia.com/ershoufang/104107927984.html,2014年建/塔楼,岳麓,98万,11048元/平米,3室2厅1厨1卫,低楼层 (共33层),88.71㎡,平层,63.18㎡,塔楼,南,钢混结构,精装,两梯五户,有,2022-01-08,商品房,2017-11-30,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,1116326910480222
2022,世纪城望江苑 ,https://cs.lianjia.com/ershoufang/104108226988.html,2008年建/板楼,开福,258万,14836元/平米,4室2厅1厨2卫,中楼层 (共28层),173.91㎡,平层,146.78㎡,板楼,南 北,钢混结构,简装,两梯两户,有,2022-03-08,商品房,2015-04-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,1128111700493218
2023,凯通国际城 ,https://cs.lianjia.com/ershoufang/104108781765.html,2013年建/板塔结合,芙蓉,79.8万,11154元/平米,2室1厅1厨1卫,中楼层 (共33层),71.55㎡,平层,55.45㎡,板塔结合,南,钢混结构,其他,两梯六户,有,2022-06-05,商品房,2016-05-17,普通住宅,满五年,非共有,无抵押,已上传房本照片,1156252070490905
2024,颐美园 ,https://cs.lianjia.com/ershoufang/104108145060.html,2001年建/板塔结合,雨花,147万,11115元/平米,3室2厅1厨2卫,高楼层 (共12层),132.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,2022-02-26,商品房,2014-02-20,普通住宅,满五年,非共有,无抵押,已上传房本照片,1044891880411071
2025,公园尚 ,https://cs.lianjia.com/ershoufang/104107833433.html,2014年建/板楼,岳麓,91万,10538元/平米,3室2厅1厨1卫,高楼层 (共29层),86.36㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-12-19,商品房,2017-12-21,普通住宅,暂无数据,非共有,有抵押 20万元 建行 业主自还,已上传房本照片,1110969970422855
2026,鄱阳小区 ,https://cs.lianjia.com/ershoufang/104106815752.html,2009年建/板楼,雨花,69.8万,7737元/平米,3室1厅1厨1卫,低楼层 (共7层),90.22㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2021-07-05,商品房,2017-07-14,普通住宅,暂无数据,共有,有抵押 30万元 业主自还,已上传房本照片,1042933790401615
2027,蓝光COCO蜜城 ,https://cs.lianjia.com/ershoufang/104106660977.html,2015年建/板塔结合,岳麓,105万,14657元/平米,3室1厅1厨1卫,高楼层 (共28层),71.64㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有,2021-06-12,商品房,2018-02-12,普通住宅,暂无数据,非共有,有抵押 可以自己结清,已上传房本照片,1034013530441343
2028,橡树湾小区 ,https://cs.lianjia.com/ershoufang/104108557872.html,未知年建/塔楼,岳麓,96万,10237元/平米,3室2厅1厨1卫,高楼层 (共30层),93.78㎡,平层,75.87㎡,塔楼,南 西南,钢混结构,精装,两梯四户,有,2022-04-26,商品房,2017-09-19,普通住宅,暂无数据,非共有,有抵押 70万元 业主自还,已上传房本照片,1030528220411851
2029,旭辉御府 ,https://cs.lianjia.com/ershoufang/104108285678.html,2014年建/塔楼,岳麓,53.8万,10435元/平米,2室1厅1厨1卫,低楼层 (共32层),51.56㎡,平层,51.56㎡,塔楼,东南,钢混结构,精装,四梯十五户,有,2022-03-16,商品房,2017-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,1132034550430455
2030,芙蓉万国城MOMA ,https://cs.lianjia.com/ershoufang/104108719314.html,未知年建/板塔结合,芙蓉,43万,10501元/平米,1室1厅0厨1卫,中楼层 (共26层),40.95㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,十梯六十八户,有,2022-05-25,商品房,2021-08-31,普通住宅,未满两年,非共有,有抵押 15万元,已上传房本照片,1154444830470572
2031,万科里梅溪郡 ,https://cs.lianjia.com/ershoufang/104108213236.html,未知年建/板塔结合,岳麓,229.8万,18997元/平米,3室2厅1厨2卫,高楼层 (共26层),120.97㎡,平层,99.37㎡,板塔结合,南,钢混结构,精装,四梯五户,有,2022-03-06,商品房,2018-06-26,普通住宅,暂无数据,非共有,有抵押 100万元 100万 客户偿还,已上传房本照片,1073490520401539
2032,华远华中心 ,https://cs.lianjia.com/ershoufang/104108448458.html,2019年建/板塔结合,天心,110万,18969元/平米,1室1厅1厨1卫,中楼层 (共20层),57.99㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,八梯四十六户,有,商水,商电,2.45元/m3,2022-04-09,商品房,2016-04-14,商住两用,满五年,非共有,有抵押 40万元 客户偿还,已上传房本照片,1131899170400772
2033,红花坡小区 ,https://cs.lianjia.com/ershoufang/104108327257.html,1995年建/板塔结合,雨花,34.5万,6306元/平米,2室1厅1厨1卫,高楼层 (共6层),54.71㎡,平层,54.71㎡,板塔结合,南 北,砖混结构,精装,一梯两户,无,2022-03-22,商品房,2011-09-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1134912890431025
2034,天麓尚层 ,https://cs.lianjia.com/ershoufang/104108776319.html,2014年建/板塔结合,岳麓,79万,10624元/平米,2室2厅1厨1卫,低楼层 (共33层),74.36㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯四户,有,2022-06-04,商品房,2018-05-17,普通住宅,暂无数据,非共有,有抵押 15万元 交通 业主自还,已上传房本照片
2035,中国铁建梅溪青秀 ,https://cs.lianjia.com/ershoufang/104108695782.html,2013年建/塔楼,岳麓,170万,16990元/平米,3室1厅1厨1卫,高楼层 (共33层),100.06㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,2022-05-21,商品房,2017-09-04,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,1036105280451539
2036,涉外花园 ,https://cs.lianjia.com/ershoufang/104108633455.html,2006年建/板楼,岳麓,68万,7410元/平米,2室2厅1厨1卫,中楼层 (共6层),91.77㎡,平层,81㎡,板楼,南 北,砖混结构,精装,一梯两户,无,2022-05-11,商品房,2016-12-01,普通住宅,满五年,非共有,无抵押,已上传房本照片,1008992240491446
2037,深业睿城 ,https://cs.lianjia.com/ershoufang/104108696194.html,2013年建/板塔结合,长沙县,40万,8889元/平米,1室1厅1厨1卫,中楼层 (共30层),45㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯六户,有,2022-05-21,商品房,2014-05-22,普通住宅,满五年,共有,有抵押 10万元,已上传房本照片
2038,康斯丹郡 ,https://cs.lianjia.com/ershoufang/104108772226.html,2012年建/板塔结合,雨花,72万,9033元/平米,2室1厅1厨1卫,低楼层 (共16层),79.71㎡,平层,63.3㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,2022-06-03,商品房,2017-05-16,普通住宅,满五年,非共有,无抵押,已上传房本照片,1153413250422406
2039,尚都美寓 ,https://cs.lianjia.com/ershoufang/104108672421.html,2013年建/塔楼,长沙县,13.8万,5710元/平米,1室1厅1厨1卫,高楼层 (共22层),24.17㎡,平层,暂无数据,塔楼,北 南,钢混结构,精装,五梯五十四户,有,2022-05-17,商品房,2018-05-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片
2040,翡翠华庭 ,https://cs.lianjia.com/ershoufang/104108648981.html,未知年建/塔楼,岳麓,40万,9502元/平米,1室1厅1厨1卫,中楼层 (共18层),42.1㎡,平层,34.14㎡,塔楼,南,钢混结构,精装,六梯四户,有,2022-05-13,商品房,2013-12-30,普通住宅,满五年,非共有,无抵押,已上传房本照片,1151324190470391
2041,八方小区C区 ,https://cs.lianjia.com/ershoufang/104108544866.html,未知年建/板塔结合,岳麓,388万,27924元/平米,3室2厅1厨2卫,中楼层 (共33层),138.95㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯三户,暂无数据,2022-04-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1030611910430193
2042,铁建小区 ,https://cs.lianjia.com/ershoufang/104108675459.html,1985年建/塔楼,雨花,29.8万,5090元/平米,2室1厅1厨1卫,高楼层 (共7层),58.55㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯两户,无,2022-05-18,商品房,2022-05-19,普通住宅,未满两年,非共有,有抵押 9万元,已上传房本照片,1036446060471009
2043,香樟兰亭 ,https://cs.lianjia.com/ershoufang/104108625692.html,2014年建/板塔结合,雨花,84.8万,11859元/平米,2室2厅1厨1卫,高楼层 (共32层),71.51㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,两梯四户,有,2022-05-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1140104880441382
2044,伍家岭生活广场 ,https://cs.lianjia.com/ershoufang/104108617696.html,2009年建/板塔结合,开福,71.8万,10342元/平米,2室1厅1厨1卫,低楼层 (共25层),69.43㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯二十户,有,2022-05-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,1031264480451589
2045,华润置地广场一期 ,https://cs.lianjia.com/ershoufang/104108639388.html,未知年建/塔楼,长沙县,95.8万,10942元/平米,3室1厅1厨2卫,高楼层 (共34层),87.56㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,有,2022-05-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
